carbon_footprint,type,food_item,cluster_id
6.02,fish,diamond fish,0
3.88,fish,eel,3
4.99,fish,fish mixed,0
6.41,fish,flatfish,3
2.56,fish,flathead,3
8.01,fish,fork beard,3
3.1,fish,haddock,3
10.4,fish,hake,3
1.24,fish,herring,3
6.45,fish,ling,3
1.8,fish,mackerel,3
14.15,fish,megrim,2
1.1,fish,pilchard,3
6.13,fish,plaice,3
1.4,fish,pollock,0
6.63,fish,pomfret,3
11.44,fish,porbeagle,3
8.41,fish,rhombus,3
6.94,fish,rock fish,0
3.37,fish,salmon,3
0.9,fish,sardine,3
3.6,fish,sea-bass,3
11.44,fish,shark,3
5.4,fish,sole,3
12.84,fish,swardfish,3
4.2,fish,trout,3
3.68,fish,tuna,0
14.51,fish,turbot,2
2.66,fish,whiting,3
3.03,fish frozen,cod (f),0
2.26,fish frozen,fish stick (f),0
3.72,fish frozen,haddock (f),0
1.3,fish frozen,herring (f),0
0.99,fish frozen,mackerel (f),0
1.04,fish frozen,mixed fish (f),0
0.9,fish frozen,pollock (f),0
2.14,fish frozen,pollock stick (f),0
1.61,fish frozen,salmon (f),0
14.28,fish frozen,sole (f),2
4.38,fish frozen,trout (f),0
2.64,fish frozen,tuna (f),0
2.14,fish processed,cod fish stick,0
2.14,fish processed,hake fish stick,0
1.02,fish processed,makerel fish stick,0
2.1,fish processed,tuna in can,0
2.3,shellfish,barnacle,3
5.54,shellfish,krill,3
20.25,shellfish,lobster,2
0.46,shellfish,mussels,3
5.05,shellfish,cuttlefish,3
5.8,shellfish,octopus,3
6.91,shellfish,squid,3
7.04,shellfish,prawns/shrimps,3
7.88,shellfish frozen,octopus (f),0
15.07,shellfish frozen,prawns/shrimps (f),2
0.73,,snails (escargot),0
1.5,,emu bone free meat,0
2.07,,duck meat with bone,0
2.13,,turkey meat with bone,0
2.82,,chicken meat with bone,0
2.84,,mealworms,3
3.44,,pork meat with bone,0
3.68,,chicken bone free meat,0
4.03,,bacon,3
4.03,,pork neck,0
4.08,,turkey meat bone free,0
4.1,,kangaroo meat,0
4.1,,duck meat bone free,0
4.31,,rabbit meat with bone,0
5.72,,pork bone free meat,0
7.95,,pork ham,0
16.7,,lamb meat with bone,2
17.94,,pork sausages,2
17.96,,beef meat with bone,2
25.23,,lamb bone free meat,2
25.75,,beef bone free meat,2
78.8,,buffalo bone free meat,1
0.69,,beer in can,0
0.96,,beer in glass,0
0.53,,beer modular can,0
1.53,,chocolate or cream filled cookies,0
1.39,,simple cookies,0
0.49,,mineral water,0
0.7,,bread multicereal,0
0.89,,bread plain,0
0.77,,bread whole,0
1.31,,bread frozen,0
2.64,,cornflakes,3
2.71,,dark chocolate,0
3.6,,milk chocolate,0
5.13,,coffee ground,0
8.29,,coffee parchment,0
0.6,,coffee drip filtered,0
0.33,,coffee soluble powder,0
0.55,,espresso,3
0.93,,flavored crackers,3
1.35,,plain crackers,0
0.97,,wholegrain crackers,3
1.35,,crispbread,3
1.46,,ketchup,3
2.04,,mayonnaise,3
1.1,,tempe’,3
3.15,,egg pasta,0
1.18,,raspberries (f),0
2.84,,apple juice (i),0
3.0,,blueberry juice (i),0
2.88,,cranberry juice (i),0
3.2,,fig juice (i),0
2.84,,kiwi juice (i),0
2.96,,mango juice (i),0
2.78,,pineapple juice (i),0
2.68,,strawberry juice (i),0
0.46,,orange juice,0
0.49,,pear juice,0
1.96,,buckwheat flour,0
0.47,,durum wheat,3
0.47,,graham flour,0
1.31,,maize flour,0
1.37,,millet flour,0
0.87,,oat meal,3
1.33,,sorghum flour,0
0.52,,wheat plain flour,0
0.36,,whole wheat flour,0
6.6,,chocolate,0
1.02,,ice cream,0
4.3,,vanilla,3
1.32,,azuki bean flour,0
1.49,,mung bean flour,0
0.62,,soy meal,0
0.11,,beans in can,0
1.45,,green beans in can,0
1.77,,beans (f),0
2.74,,green beans (f),0
1.39,,margarine*,3
4.8,,almond covered with chocolate,0
3.43,,hazelnut covered with chocolate,0
2.98,,almond paste,0
2.71,,hazelnut cream,0
1.69,,hazelnut paste,0
1.15,,peanut butter,3
1.84,,peanut paste,0
3.27,,olive oil,0
2.43,,palm oil,0
2.9,,peanut oil,0
1.79,,rapeseed oil,0
1.79,,soybean oil,0
0.98,,sunflower oil,0
1.21,,pasta,0
2.71,,pesto,0
2.72,,pesto without garlic,0
0.94,,beet sugar,0
0.62,,cane sugar,0
2.14,,cakes and croissant,0
1.94,,cocoa cakes and croissant,0
1.47,,tomato chopped,0
1.3,,tomato peeled,0
1.03,,tomato puree,0
1.14,,tomato & basil,0
1.24,,tomato arrabbiata,0
1.6,,carrots canned,0
1.36,,corn canned,0
0.27,,carrots (f),0
1.35,,zucchini (f),0
1.62,,soy cream,0
0.42,,almond milk,0
0.41,,coconut milk,0
0.66,,rice milk,0
0.78,,soy milk,0
2.5,,quorne,3
1.48,,soy burger,3
2.27,,tofu,3
1.36,,soy yogurt,0
0.87,,wine red (see: box wine),0
0.44,,wine white (see: box wine),0
0.82,,yeast compressed,0
3.29,,yeast dried,0
0.5,,yeast liquid,0
0.6,–,date,3
0.64,–,olives,3
0.81,–,raisin,3
0.48,Cereals,barley,3
0.48,Cereals,maize,3
0.86,Cereals,millet,3
0.67,Cereals,oat,3
0.97,Cereals,quinoa,3
2.19,Cereals,rice,0
0.38,Cereals,rye,3
0.88,Cereals,sorghum,3
0.57,Cereals,wheat,0
0.41,Citrus,clementine,3
0.22,Citrus,lemon,3
0.22,Citrus,lime,3
0.45,Citrus,mandarin,3
0.3,Citrus,orange,3
0.51,Citrus,pomelo,3
0.38,Citrus,tangerin,3
0.25,Fruit,apple,0
0.3,Fruit,apricot,3
0.54,Fruit,avocado,3
0.34,Fruit,banana,3
1.1,Fruit,carrob,3
0.46,Fruit,cherry,3
0.26,Fruit,fig,3
0.31,Fruit,grapes,3
0.28,Fruit,guava,3
0.49,Fruit,kiwi,3
0.31,Fruit,mango,3
0.61,Fruit,melon,3
0.39,Fruit,peach,3
0.27,Fruit,pear,3
0.28,Fruit,pineapple,3
0.26,Fruit,plum,3
0.32,Fruit,pomegranate,3
0.39,Fruit,rockmelon,3
0.52,Fruit,watermelon,3
2.06,Fungi,mushroom,3
2.55,Greenhouse grown,cucumber,3
2.9,Greenhouse grown,eggplant,3
2.43,Greenhouse grown,exotic fruit,0
2.12,Greenhouse grown,gerkin,3
0.28,Greenhouse grown,green bean (fresh),0
2.67,Greenhouse grown,lettuce,3
3.73,Greenhouse grown,pepper,3
1.18,Greenhouse grown,pepper,3
7.35,Greenhouse grown,raspberry,3
2.88,Greenhouse grown,strawberry,3
2.43,Greenhouse grown,tomato,0
0.91,Greenhouse grown,tomato,0
1.77,Greenhouse grown,zucchini,3
1.09,Imported,avocado,3
0.82,Imported,banana,3
1.78,Imported,coconut,3
2.43,Imported,exotic fruit,0
0.55,Imported,pineapple,3
1.17,Imported,pomegranate,3
0.84,Imported,strawberry,3
0.43,Legumes,bean,0
0.77,Legumes,chickpea,3
0.49,Legumes,cowpea,3
0.52,Legumes,green bean (fresh),0
1.03,Legumes,lentil,3
0.45,Legumes,pea,3
0.56,Legumes,soybean,3
1.88,Nuts,almond,0
1.38,Nuts,cashew nut,0
0.44,Nuts,chestnut,3
1.11,Nuts,hazelnut,0
0.47,Nuts,mixed nuts,0
0.8,Nuts,palm nut,0
0.83,Nuts,peanut,3
1.6,Nuts,pistachio,3
2.06,Nuts,walnut,3
0.78,Seeds,rape seed,0
